Reg_no,Subject1,Subject2,Subject3,Subject4,Subject5,Subject6,Subject7,Subject8,Subject9,Subject10,Subject11,Subject12
MDL16EBE055,CY100(B), BE10104(B),,,,,,,,
MDL16EBE056,BE100(C), BE10104(F),,,,,,,,
MDL16EBE058,CY100(C), BE100(C), CE100(B), BE102(B+),,,,,,
MDL16EBE059,MA101(F), BE10104(F),,,,,,,,
TCE16CH001,PH100(B+), BE110(O),,,,,,,,
TCE16CH034,PH100(B), CY100(C), BE100(C), BE110(B+), ME100(B),,,,,
TCE16CH045,BE100(B), CE100(B), ME100(C),TCE16CH053,BE100(C), CE100(B+), ME100(C), MA102(P),,
MDL16EE002,ME100(F),,,,,,,,,
MDL16EE004,PH100(P), BE10103(F), MA102(F),,,,,,,
MDL16EE007,ME100(B),,,,,,,,,
MDL16EE013,PH100(F), ME100(F),,,,,,,,
MDL16EE015,BE100(C), BE110(F),,,,,,,,
MDL16EE017,BE100(B+),,,,,,,,,
MDL16EE018,CY100(B+), BE100(B+), BE10103(B),,,,,,,
MDL16EE022,ME100(B),,,,,,,,,
MDL16EE030,PH100(B+), ME100(B),,,,,,,,
MDL16EE034,CE100(B+),,,,,,,,,
MDL16EE039,CE100(B+), ME100(C),,,,,,,,
MDL16EE041,BE100(B), ME100(B),,,,,,,,
MDL16EE042,PH100(F), CY100(F), BE100(F), BE10103(F), BE103(B), CE100(C), ME100(C), EC100(C),MA102(C),
MDL16EE052,PH100(B), MA102(B+),,,,,,,,
MDL16EE054,BE102(B+),,,,,,,,,
NCE16AU001,MA101(F),PH100(F),CY100(F),BE100(F),BE110(C),BE10102(F),CE100(C),EE100(F),EC100(F),MA102(F)
NCE16AU002,PH100(F),CY100(C),EC100(F)
NCE16AU003,PH100(C),CY100(C)
NCE16AU005,BE110(Absent),MA102(Absent)
NCE16AU006,MA101(F),PH100(F),CY100(F),BE100(F),BE110(C),BE10102(F),CE100(P),EE100(C),EC100(F),MA102(F)
NCE16AU008,MA101(F),PH100(F),CY100(C),BE10102(C),EC100(F),MA102(F)
NCE16AU009,MA101(F),PH100(F),CY100(F),BE100(F),BE110(F),BE10102(F),EE100(P),EC100(F)
NCE16AU011,PH100(F),CY100(C),BE100(F),BE110(B),BE10102(C),EE100(F),EC100(F)
NCE16AU012,MA101(F),PH100(F),CY100(Absent),BE100(Absent),BE10102(F),CE100(F),EE100(F),EC100(F)
NCE16AU013,CY100(B+),BE110(B),EC100(C)
NCE16AU014,CY100(F),BE110(F),BE10102(F)
NCE16AU015,CY100(C),EC100(P),MA102(F)
NCE16AU016,MA101(F),BE100(F),BE110(Absent),BE10102(F),EE100(F),EC100(F),MA102(F)
NCE16AU018,BE10102(F),EC100(F),MA102(F)
NCE16AU019,PH100(F),CY100(F),EE100(F),EC100(F),MA102(F)
NCE16AU021,MA101(F),PH100(F),CY100(F),BE100(F),BE10102(F),CE100(F),EE100(F),EC100(Absent),MA102(F)
NCE16AU022,MA101(F),PH100(F),CY100(F),BE10102(F),EC100(F),MA102(F)
NCE16AU023,MA101(F),PH100(Absent),CY100(Absent),BE100(F),BE110(C),BE10102(F),EC100(F),MA102(Absent)
NCE16AU024,PH100(F),CY100(F),BE10102(F),EE100(C),EC100(F),MA102(F)
NCE16AU025,MA101(F),BE100(F),BE110(Absent),BE10102(F),EE100(F),EC100(F)
